Index,Letter,MidColor,OtherColor,IsNegative,IsCorrect,ResponseTime
118,空地,Green,Green,False,False,0.001
119,發怒,Green,Red,True,False,0.001
120,通往,Red,Green,False,False,0.001
121,怒罵,Red,Red,True,False,0.001
122,厚度,Red,Red,False,False,0.001
123,取向,Red,Green,False,False,0.001
124,預先,Red,Green,False,False,0.001
125,自焚,Green,Green,True,False,0.001
126,冥想,Green,Green,False,False,0.001
127,通往,Green,Green,False,False,0.001
128,詛咒,Red,Green,True,False,0.001
129,悲慟,Green,Red,True,False,0.001
130,概要,Red,Red,False,False,0.001
131,循環,Red,Red,False,False,0.001
132,欺騙,Green,Red,True,False,0.001
133,咆哮,Red,Green,True,False,0.001
134,狠毒,Red,Red,True,False,0.001
135,比喻,Red,Red,False,False,0.001
136,思量,Green,Green,False,False,0.001
137,殘忍,Red,Green,True,False,0.001
138,驚嚇,Green,Green,True,False,0.001
139,額外,Red,Green,False,False,0.001
140,思量,Green,Red,False,False,0.001
141,變態,Red,Red,True,False,0.001
142,崩潰,Red,Green,True,False,0.001
143,概要,Green,Green,False,False,0.001
144,殘忍,Green,Red,True,False,0.001
145,激怒,Red,Green,True,False,0.001
146,通往,Green,Red,False,False,0.001
147,字形,Green,Green,False,False,0.001
148,畜生,Green,Red,True,False,0.001
149,喪命,Red,Green,True,False,0.001
150,摘要,Green,Red,False,False,0.001
151,歸類,Green,Red,False,False,0.001
152,分屍,Red,Red,True,False,0.001
153,凌虐,Red,Red,True,False,0.001
154,分屍,Red,Green,True,False,0.001
155,詛咒,Green,Green,True,False,0.001
156,底下,Green,Red,False,False,0.001
157,變態,Green,Red,True,False,0.001
158,挑釁,Red,Green,True,False,0.001
159,用語,Red,Red,False,False,0.001
160,怒罵,Green,Green,True,False,0.001
161,沿途,Red,Green,False,False,0.001
162,強姦,Red,Red,True,False,0.001
163,段落,Green,Green,False,False,0.001
164,猥褻,Green,Red,True,False,0.001
165,段落,Green,Red,False,False,0.001
166,主義,Green,Green,False,False,0.001
167,句子,Green,Green,False,False,0.001
168,要件,Red,Red,False,False,0.001
169,配套,Green,Green,False,False,0.001
170,檢閱,Red,Red,False,False,0.001
171,厚度,Green,Red,False,False,0.001
172,砍頭,Red,Red,True,False,0.001
173,冥想,Red,Green,False,False,0.001
174,詛咒,Green,Red,True,False,0.001
175,屠殺,Red,Green,True,False,0.001
176,驚嚇,Red,Red,True,False,0.001
177,時程,Red,Green,False,False,0.001
178,憤怒,Red,Red,True,False,0.001
179,強姦,Green,Green,True,False,0.001
180,自焚,Red,Green,True,False,0.001
181,屠殺,Green,Red,True,False,0.001
182,亂倫,Red,Red,True,False,0.001
183,欺騙,Red,Green,True,False,0.001
184,預先,Red,Red,False,False,0.001
185,欺騙,Red,Red,True,False,0.001
186,額外,Red,Red,False,False,0.001
187,溺斃,Green,Red,True,False,0.001
188,怒罵,Green,Red,True,False,0.001
189,檢閱,Green,Green,False,False,0.001
190,段落,Red,Red,False,False,0.001
191,前言,Green,Red,False,False,0.001
192,概要,Green,Red,False,False,0.001
193,比喻,Green,Green,False,False,0.001
194,屬性,Green,Green,False,False,0.001
195,分屍,Green,Green,True,False,0.001
196,崩潰,Red,Red,True,False,0.001
197,驚嚇,Green,Red,True,False,0.001
198,畜生,Green,Green,True,False,0.001
199,冥想,Red,Red,False,False,0.001
200,取向,Red,Red,False,False,0.001
201,要件,Green,Green,False,False,0.001
202,選取,Green,Red,False,False,0.001
203,凌虐,Green,Green,True,False,0.001
204,底下,Red,Green,False,False,0.001
205,強姦,Red,Green,True,False,0.001
206,句子,Green,Red,False,False,0.001
207,喪命,Red,Red,True,False,0.001
208,用語,Green,Green,False,False,0.001
209,砍頭,Red,Green,True,False,0.001
210,悲慟,Red,Green,True,False,0.001
211,喪命,Green,Red,True,False,0.001
212,凌虐,Green,Red,True,False,0.001
213,配套,Red,Red,False,False,0.001
214,屠殺,Green,Green,True,False,0.001
215,咆哮,Red,Red,True,False,0.001
216,喪命,Green,Green,True,False,0.001
217,屬性,Red,Red,False,False,0.001
218,前言,Red,Red,False,False,0.001
219,選取,Green,Green,False,False,0.001
220,殘忍,Green,Green,True,False,0.001
221,狠毒,Green,Green,True,False,0.001
222,時程,Green,Green,False,False,0.001
223,自焚,Green,Red,True,False,0.001
224,厚度,Green,Green,False,False,0.001
225,由來,Green,Green,False,False,0.001
226,怒罵,Red,Green,True,False,0.001
227,哭泣,Red,Green,True,False,0.001
228,收取,Green,Red,False,False,0.001
229,自焚,Red,Red,True,False,0.001
230,挑釁,Green,Red,True,False,0.001
231,暴虐,Red,Green,True,False,0.001
232,溺斃,Red,Red,True,False,0.001
233,悲慟,Green,Green,True,False,0.001
234,分屍,Green,Red,True,False,0.001
235,沿途,Green,Red,False,False,0.001
236,亂倫,Green,Red,True,False,0.001
237,思量,Red,Green,False,False,0.001
238,憤怒,Green,Red,True,False,0.001
239,砍頭,Green,Red,True,False,0.001

總題數,240
正確題數,0
正確率,0.00%
平均反應時間（僅計算正確題）, 0.000 秒
